image_file,DOCUMENT_TYPE,INVOICE_DATE,SUPPLIER_NAME,BUSINESS_ABN,BUSINESS_ADDRESS,PAYER_NAME,PAYER_ADDRESS,GST_AMOUNT,IS_GST_INCLUDED,TOTAL_AMOUNT,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_TOTAL_PRICES
image_021.png,TAX INVOICE,08/06/2025,Gold Coast Retail Supplies,25 858 507 403,"258 Elizabeth Street, Hobart TAS 7000",NOT_FOUND,NOT_FOUND,$85.21,false,NOT_FOUND,Shredder | Desk Lamp | Training Workshop | Laptop Computer,$120.27 | $344.60 | $90.18 | $382.28
image_022.png,TAX INVOICE,06/07/2025,Aussie Office Supplies Pty Ltd,28 743 103 872,"123 Collins Street, Melbourne VIC 3000",NOT_FOUND,NOT_FOUND,$30.01,false,NOT_FOUND,Office Chair | Filing Cabinet,$90.56 | $239.49
image_023.png,TAX INVOICE,20/08/2025,Hobart Fresh Produce,72 815 662 819,"369 Smith Street, Darwin NT 0800",NOT_FOUND,NOT_FOUND,$82.58,false,NOT_FOUND,Catering Package | Office Chair | Shredder | Printer Paper | Whiteboard,$191.08 | $270.54 | $25.47 | $21.58 | $399.71
image_024.png,TAX INVOICE,12/07/2025,Adelaide Medical Equipment,68 267 909 342,"987 London Circuit, Canberra ACT 2600",NOT_FOUND,NOT_FOUND,$35.86,false,NOT_FOUND,Monitor Stand | Shredder,$169.40 | $225.08
image_025.png,TAX INVOICE,17/07/2025,Perth Building Materials,13 147 579 229,"654 King William Street, Adelaide SA 5000",NOT_FOUND,NOT_FOUND,$64.09,false,NOT_FOUND,Desk Lamp | Laptop Computer | Office Chair | Monitor Stand | Wireless Mouse,$43.06 | $172.44 | $80.80 | $88.42 | $320.30
image_026.png,TAX INVOICE,03/07/2025,Adelaide Medical Equipment,19 122 662 985,"987 London Circuit, Canberra ACT 2600",NOT_FOUND,NOT_FOUND,$50.49,false,NOT_FOUND,Monitor Stand,$555.38
image_027.png,TAX INVOICE,06/08/2025,Aussie Office Supplies Pty Ltd,73 154 562 747,"123 Collins Street, Melbourne VIC 3000",Perth Building Materials,"456 George Street, Sydney NSW 2000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Wireless Mouse | Desk Lamp | Wireless Mouse | Printer Paper | Monitor Stand,$1470.36 | $116.52 | $863.16 | $415.74 | $1968.24
image_028.png,TAX INVOICE,05/07/2025,Gold Coast Retail Supplies,52 955 703 238,"258 Elizabeth Street, Hobart TAS 7000",Aussie Office Supplies Pty Ltd,"456 George Street, Sydney NSW 2000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Wireless Mouse,$3859.21
image_029.png,TAX INVOICE,06/06/2025,Sydney Tech Solutions,23 714 667 606,"456 George Street, Sydney NSW 2000",Sarah Johnson,"45 Residential Ave, Suburb NSW 2100",NOT_FOUND,NOT_FOUND,NOT_FOUND,Cleaning Service | Coffee Machine | Wireless Mouse | Laptop Computer,$70.32 | $309.03 | $81.33 | $3319.38
image_030.png,TAX INVOICE,20/08/2025,Canberra Consulting Group,28 827 339 158,"147 Surfers Paradise Blvd, Gold Coast QLD 4217",Perth Building Materials,"258 Elizabeth Street, Hobart TAS 7000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Office Chair | Coffee Machine | Printer Paper,$610.20 | $39.00 | $1352.16
image_031.png,TAX INVOICE,08/07/2025,Canberra Consulting Group,73 469 619 523,"147 Surfers Paradise Blvd, Gold Coast QLD 4217",Gold Coast Retail Supplies,"123 Collins Street, Melbourne VIC 3000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Filing Cabinet | Desk Lamp | Whiteboard,$419.94 | $147.96 | $2733.35
image_032.png,TAX INVOICE,24/06/2025,Canberra Consulting Group,58 884 410 883,"147 Surfers Paradise Blvd, Gold Coast QLD 4217",Aussie Office Supplies Pty Ltd,"741 Flinders Street, Adelaide SA 5000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Filing Cabinet,$1962.35
image_033.png,TAX INVOICE,12/08/2025,Darwin Industrial Services,34 285 195 526,"741 Flinders Street, Adelaide SA 5000",Sophie Martin,"78 Home Street, Township QLD 4000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Wireless Mouse | Laptop Computer | Training Workshop | Laptop Computer | Shredder,$35.37 | $157.74 | $340.44 | $10.71 | $3880.54
image_034.png,TAX INVOICE,30/05/2025,Gold Coast Retail Supplies,81 524 762 218,"258 Elizabeth Street, Hobart TAS 7000",Anna Thompson,"34 Family Road, Area WA 6050",NOT_FOUND,NOT_FOUND,NOT_FOUND,Printer Paper | Shredder | Desk Lamp | Filing Cabinet,$1455.27 | $9.78 | $307.58 | $76.89
image_035.png,TAX INVOICE,26/08/2025,Aussie Office Supplies Pty Ltd,42 835 661 195,"123 Collins Street, Melbourne VIC 3000",NOT_FOUND,NOT_FOUND,$57.70,false,NOT_FOUND,Monitor Stand | Shredder | Monitor Stand | Consultation,$507.73 | $101.55 | $20.31 | $5.08
image_036.png,TAX INVOICE,02/06/2025,Brisbane Catering Services,34 633 812 646,"321 Murray Street, Perth WA 6000",Gold Coast Retail Supplies,"741 Flinders Street, Adelaide SA 5000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Catering Package,$2679.16
image_037.png,TAX INVOICE,22/06/2025,Adelaide Medical Equipment,23 545 583 588,"987 London Circuit, Canberra ACT 2600",NOT_FOUND,NOT_FOUND,$65.34,false,NOT_FOUND,Office Chair | Wireless Mouse | Shredder,$254.64 | $71.10 | $392.94
image_038.png,TAX INVOICE,19/07/2025,Darwin Industrial Services,86 262 242 628,"741 Flinders Street, Adelaide SA 5000",Melbourne Hardware Store,"258 Elizabeth Street, Hobart TAS 7000",NOT_FOUND,NOT_FOUND,NOT_FOUND,Coffee Machine | Filing Cabinet | Printer Paper | Cleaning Service,$540.46 | $30.27 | $964.10 | $995.81
image_039.png,TAX INVOICE,06/08/2025,Gold Coast Retail Supplies,75 831 263 296,"258 Elizabeth Street, Hobart TAS 7000",David Brown,"56 House Court, Region SA 5100",NOT_FOUND,NOT_FOUND,NOT_FOUND,Catering Package | Training Workshop,$811.44 | $692.14
image_040.png,TAX INVOICE,17/08/2025,Melbourne Hardware Store,34 222 348 721,"789 Queen Street, Brisbane QLD 4000",Hobart Fresh Produce,"987 London Circuit, Canberra ACT 2600",NOT_FOUND,NOT_FOUND,NOT_FOUND,Shredder,$2058.35
image_042.png,TAX INVOICE,16 Jul 2025,Telstra Limited,ABN 64 086 174 781,29 Frederick Street FernTree Gully VIC 3156,Mr Maurice Nestor,29 Frederick Street FernTree Gully VIC 3156,$10.91,true,$120.00,Mobile service 0428 521 734 | Mobile data service 0459 246 813 | Mobile data service 0409 760 513 | Mobile data service 0428 992 418,$45.00 | $30.00 | $25.00 | $20.00
